@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
2895,'2017/05/31 10:25:57:995',12,458,-1.511387,1
2896,'2017/05/31 10:25:57:996',12,458,-1.394628,1
2897,'2017/05/31 10:25:58:009',12,458,-1.27835,1
2898,'2017/05/31 10:25:58:009',12,458,-1.162551,1
2899,'2017/05/31 10:25:58:034',12,458,-1.071869,1
2900,'2017/05/31 10:25:58:034',12,458,-0.981557,1
2901,'2017/05/31 10:25:58:039',12,458,-0.891616,1
2902,'2017/05/31 10:25:58:049',12,458,-0.802041,1
2903,'2017/05/31 10:25:58:059',12,458,-0.706721,1
2904,'2017/05/31 10:25:58:077',12,458,-0.628049,1
2905,'2017/05/31 10:25:58:079',12,458,-0.549696,1
2906,'2017/05/31 10:25:58:089',12,458,-0.47166,1
2907,'2017/05/31 10:25:58:102',12,458,-0.393939,1
2908,'2017/05/31 10:25:58:109',12,458,-0.322581,1
2909,'2017/05/31 10:25:58:119',12,458,-0.251509,1
2910,'2017/05/31 10:25:58:129',12,458,-0.180723,1
2911,'2017/05/31 10:25:58:139',12,458,-0.11022,1
2912,'2017/05/31 10:25:58:157',12,458,-0.04,1
2913,'2017/05/31 10:25:58:159',12,458,-0.049702,1
2914,'2017/05/31 10:25:58:169',12,458,-0.089286,1
2915,'2017/05/31 10:25:58:195',12,455,-0.089109,1
2916,'2017/05/31 10:25:58:195',12,455,-0.088933,1
2917,'2017/05/31 10:25:58:223',12,455,-0.094675,1
2918,'2017/05/31 10:25:58:224',12,455,-0.108268,1
2919,'2017/05/31 10:25:58:224',12,455,-0.121807,1
2920,'2017/05/31 10:25:58:229',12,455,-0.123529,1
2921,'2017/05/31 10:25:58:243',12,455,-0.125245,1
2922,'2017/05/31 10:25:58:259',12,455,-0.126953,1
2923,'2017/05/31 10:25:58:259',12,455,-0.120858,1
2924,'2017/05/31 10:25:58:269',12,455,-0.114786,1
2925,'2017/05/31 10:25:58:287',12,452,-0.108738,1
2926,'2017/05/31 10:25:58:289',12,452,-0.102713,1
2927,'2017/05/31 10:25:58:299',12,452,-0.102515,1
2928,'2017/05/31 10:25:58:311',12,452,-0.11583,1
2929,'2017/05/31 10:25:58:319',12,452,-0.129094,1
2930,'2017/05/31 10:25:58:337',12,452,-0.142308,1
2931,'2017/05/31 10:25:58:339',12,452,-0.15547,1
2932,'2017/05/31 10:25:58:349',12,452,-0.168582,1
2933,'2017/05/31 10:25:58:359',12,452,-0.175908,1
2934,'2017/05/31 10:25:58:369',12,452,-0.183206,1
2935,'2017/05/31 10:25:58:379',12,458,-0.190476,1
2936,'2017/05/31 10:25:58:401',12,458,-0.197719,1
2937,'2017/05/31 10:25:58:401',12,458,-0.193548,1
2938,'2017/05/31 10:25:58:409',12,458,-0.176136,1
2939,'2017/05/31 10:25:58:443',12,458,-0.176136,1
2940,'2017/05/31 10:25:58:443',12,458,-0.15879,1
2941,'2017/05/31 10:25:58:443',12,458,-0.141509,1
2942,'2017/05/31 10:25:58:449',12,458,-0.107143,1
2943,'2017/05/31 10:25:58:460',12,458,-0.071295,1
2944,'2017/05/31 10:25:58:475',12,458,-0.035581,1
2945,'2017/05/31 10:25:58:479',12,458,-0.048598,1
2946,'2017/05/31 10:25:58:495',12,458,-0.061567,1
2947,'2017/05/31 10:25:58:499',12,458,-0.074488,1
2948,'2017/05/31 10:25:58:509',12,458,-0.087361,1
2949,'2017/05/31 10:25:58:522',12,458,-0.100186,1
2950,'2017/05/31 10:25:58:529',12,468,-0.135185,1
2951,'2017/05/31 10:25:58:548',12,468,-0.170055,1
2952,'2017/05/31 10:25:58:550',12,468,-0.186347,1
2953,'2017/05/31 10:25:58:559',12,468,-0.21547,1
2954,'2017/05/31 10:25:58:577',12,468,-0.244485,1
2955,'2017/05/31 10:25:58:584',12,458,-0.273394,1
2956,'2017/05/31 10:25:58:609',12,458,-0.302198,1
2957,'2017/05/31 10:25:58:609',12,458,-0.349177,1
2958,'2017/05/31 10:25:58:609',12,458,-0.425182,1
2959,'2017/05/31 10:25:58:641',12,458,-0.500911,1
2960,'2017/05/31 10:25:58:642',12,452,-0.576364,1
2961,'2017/05/31 10:25:58:642',12,452,-0.651543,1
2962,'2017/05/31 10:25:58:649',12,452,-0.737319,1
2963,'2017/05/31 10:25:58:661',12,452,-0.811935,1
2964,'2017/05/31 10:25:58:676',12,452,-0.886282,1
2965,'2017/05/31 10:25:58:679',12,458,-0.94955,1
2966,'2017/05/31 10:25:58:689',12,458,-1.01259,1
2967,'2017/05/31 10:25:58:703',12,458,-1.064632,1
2968,'2017/05/31 10:25:58:709',12,458,-1.103943,1
2969,'2017/05/31 10:25:58:719',12,458,-1.143113,1
2970,'2017/05/31 10:25:58:729',12,464,-1.146429,1
2971,'2017/05/31 10:25:58:739',12,464,-1.149733,1
2972,'2017/05/31 10:25:58:759',12,464,-1.142349,1
2973,'2017/05/31 10:25:58:759',12,464,-1.134991,1
2974,'2017/05/31 10:25:58:769',12,464,-1.12766,1
2975,'2017/05/31 10:25:58:792',12,474,-1.130973,1
2976,'2017/05/31 10:25:58:793',12,474,-1.134276,1
2977,'2017/05/31 10:25:58:799',12,474,-1.119929,1
2978,'2017/05/31 10:25:58:811',12,474,-1.100352,1
2979,'2017/05/31 10:25:58:841',12,474,-1.080844,1
2980,'2017/05/31 10:25:58:841',12,458,-1.075439,1
2981,'2017/05/31 10:25:58:841',12,458,-1.070053,1
2982,'2017/05/31 10:25:58:860',12,458,-1.092657,1
2983,'2017/05/31 10:25:58:860',12,458,-1.115183,1
2984,'2017/05/31 10:25:58:869',12,458,-1.137631,1
2985,'2017/05/31 10:25:58:885',12,452,-1.16,1
2986,'2017/05/31 10:25:58:889',12,452,-1.182292,1
2987,'2017/05/31 10:25:58:899',12,452,-1.214905,1
2988,'2017/05/31 10:25:58:912',12,452,-1.230104,1
2989,'2017/05/31 10:25:58:919',12,452,-1.24525,1
2990,'2017/05/31 10:25:58:929',12,452,-1.27069,1
2991,'2017/05/31 10:25:58:939',12,452,-1.296041,1
2992,'2017/05/31 10:25:58:949',12,452,-1.321306,1
2993,'2017/05/31 10:25:58:959',12,452,-1.346484,1
2994,'2017/05/31 10:25:58:973',12,452,-1.371575,1
2995,'2017/05/31 10:25:58:980',12,461,-1.406838,1
2996,'2017/05/31 10:25:59:001',12,461,-1.44198,1
2997,'2017/05/31 10:25:59:001',12,461,-1.46167,1
2998,'2017/05/31 10:25:59:009',12,461,-1.471088,1
2999,'2017/05/31 10:25:59:041',12,461,-1.480475,1
3000,'2017/05/31 10:25:59:041',12,464,-1.48983,1
3001,'2017/05/31 10:25:59:041',12,464,-1.499154,1
3002,'2017/05/31 10:25:59:060',12,464,-1.503378,1
3003,'2017/05/31 10:25:59:060',12,464,-1.500843,1
3004,'2017/05/31 10:25:59:069',12,464,-1.498317,1
3005,'2017/05/31 10:25:59:082',12,461,-1.495798,1
3006,'2017/05/31 10:25:59:089',12,461,-1.493289,1
3007,'2017/05/31 10:25:59:099',12,461,-1.495812,1
3008,'2017/05/31 10:25:59:119',12,461,-1.498328,1
3009,'2017/05/31 10:25:59:119',12,461,-1.500835,1
3010,'2017/05/31 10:25:59:129',12,461,-1.503333,1
3011,'2017/05/31 10:25:59:139',12,461,-1.505824,1
3012,'2017/05/31 10:25:59:151',12,461,-1.508306,1
3013,'2017/05/31 10:25:59:159',12,461,-1.510779,1
3014,'2017/05/31 10:25:59:169',12,461,-1.529801,1
3015,'2017/05/31 10:25:59:194',12,461,-1.54876,1
3016,'2017/05/31 10:25:59:194',12,468,-1.557756,1
3017,'2017/05/31 10:25:59:209',12,468,-1.566722,1
3018,'2017/05/31 10:25:59:209',12,468,-1.564145,1
3019,'2017/05/31 10:25:59:241',12,468,-1.566502,1
3020,'2017/05/31 10:25:59:242',12,468,-1.568852,1
3021,'2017/05/31 10:25:59:242',12,471,-1.571195,1
3022,'2017/05/31 10:25:59:260',12,471,-1.573529,1
3023,'2017/05/31 10:25:59:260',12,471,-1.570962,1
3024,'2017/05/31 10:25:59:275',12,471,-1.568404,1
3025,'2017/05/31 10:25:59:279',12,471,-1.565854,1
3026,'2017/05/31 10:25:59:289',12,468,-1.553571,1
3027,'2017/05/31 10:25:59:302',12,468,-1.541329,1
3028,'2017/05/31 10:25:59:309',12,468,-1.533981,1
3029,'2017/05/31 10:25:59:319',12,468,-1.526656,1
3030,'2017/05/31 10:25:59:335',12,468,-1.519355,1
3031,'2017/05/31 10:25:59:339',12,468,-1.512077,1
3032,'2017/05/31 10:25:59:349',12,468,-1.504823,1
3033,'2017/05/31 10:25:59:362',12,468,-1.497592,1
3034,'2017/05/31 10:25:59:369',12,468,-1.490385,1
3035,'2017/05/31 10:25:59:394',12,468,-1.4832,1
3036,'2017/05/31 10:25:59:394',12,461,-1.495208,1
3037,'2017/05/31 10:25:59:411',12,461,-1.507177,1
3038,'2017/05/31 10:25:59:411',12,461,-1.530255,1
3039,'2017/05/31 10:25:59:441',12,461,-1.553259,1
3040,'2017/05/31 10:25:59:441',12,461,-1.57619,1
